Train on 370515 samples, validate on 123506 samples
Epoch 1/1
179168/370515 [=============>................] - ETA: 21s - loss: 0.8858
179648/370515 [=============>................] - ETA: 21s - loss: 0.8843
180256/370515 [=============>................] - ETA: 21s - loss: 0.8822
180832/370515 [=============>................] - ETA: 21s - loss: 0.8801
181248/370515 [=============>................] - ETA: 21s - loss: 0.8785
181856/370515 [=============>................] - ETA: 21s - loss: 0.8767
182464/370515 [=============>................] - ETA: 21s - loss: 0.8746
183008/370515 [=============>................] - ETA: 21s - loss: 0.8728
183488/370515 [=============>................] - ETA: 21s - loss: 0.8710
184096/370515 [=============>................] - ETA: 20s - loss: 0.8688
184640/370515 [=============>................] - ETA: 20s - loss: 0.8664
185152/370515 [=============>................] - ETA: 20s - loss: 0.8649
185472/370515 [==============>...............] - ETA: 20s - loss: 0.8638
185856/370515 [==============>...............] - ETA: 20s - loss: 0.8624
186240/370515 [==============>...............] - ETA: 20s - loss: 0.8609
186624/370515 [==============>...............] - ETA: 20s - loss: 0.8593
186944/370515 [==============>...............] - ETA: 20s - loss: 0.8578
187360/370515 [==============>...............] - ETA: 20s - loss: 0.8565
187872/370515 [==============>...............] - ETA: 20s - loss: 0.8549
188480/370515 [==============>...............] - ETA: 20s - loss: 0.8535
188864/370515 [==============>...............] - ETA: 20s - loss: 0.8526
189344/370515 [==============>...............] - ETA: 20s - loss: 0.8509
189952/370515 [==============>...............] - ETA: 20s - loss: 0.8495
190528/370515 [==============>...............] - ETA: 20s - loss: 0.8478
190880/370515 [==============>...............] - ETA: 20s - loss: 0.8466
191488/370515 [==============>...............] - ETA: 20s - loss: 0.8449
192064/370515 [==============>...............] - ETA: 20s - loss: 0.8431
192704/370515 [==============>...............] - ETA: 20s - loss: 0.8410
193024/370515 [==============>...............] - ETA: 19s - loss: 0.8401
193504/370515 [==============>...............] - ETA: 19s - loss: 0.8384
194016/370515 [==============>...............] - ETA: 19s - loss: 0.8368
194496/370515 [==============>...............] - ETA: 19s - loss: 0.8350
194880/370515 [==============>...............] - ETA: 19s - loss: 0.8337
195296/370515 [==============>...............] - ETA: 19s - loss: 0.8325
195776/370515 [==============>...............] - ETA: 19s - loss: 0.8309
196384/370515 [==============>...............] - ETA: 19s - loss: 0.8293
196768/370515 [==============>...............] - ETA: 19s - loss: 0.8285
197376/370515 [==============>...............] - ETA: 19s - loss: 0.8263
197984/370515 [===============>..............] - ETA: 19s - loss: 0.8249
198464/370515 [===============>..............] - ETA: 19s - loss: 0.8232
199008/370515 [===============>..............] - ETA: 19s - loss: 0.8216
199584/370515 [===============>..............] - ETA: 19s - loss: 0.8197
200160/370515 [===============>..............] - ETA: 19s - loss: 0.8179
200768/370515 [===============>..............] - ETA: 19s - loss: 0.8159
201184/370515 [===============>..............] - ETA: 19s - loss: 0.8148
201792/370515 [===============>..............] - ETA: 18s - loss: 0.8127
202368/370515 [===============>..............] - ETA: 18s - loss: 0.8167
203008/370515 [===============>..............] - ETA: 18s - loss: 0.8174
203520/370515 [===============>..............] - ETA: 18s - loss: 0.8162
204000/370515 [===============>..............] - ETA: 18s - loss: 0.8146
204544/370515 [===============>..............] - ETA: 18s - loss: 0.8129
205184/370515 [===============>..............] - ETA: 18s - loss: 0.8106
205568/370515 [===============>..............] - ETA: 18s - loss: 0.8095
206144/370515 [===============>..............] - ETA: 18s - loss: 0.8075
206784/370515 [===============>..............] - ETA: 18s - loss: 0.8055
207424/370515 [===============>..............] - ETA: 18s - loss: 0.8035
207776/370515 [===============>..............] - ETA: 18s - loss: 0.8025
208416/370515 [===============>..............] - ETA: 18s - loss: 0.8008
208832/370515 [===============>..............] - ETA: 18s - loss: 0.7993
209408/370515 [===============>..............] - ETA: 17s - loss: 0.7974
209984/370515 [================>.............] - ETA: 17s - loss: 0.7957
210592/370515 [================>.............] - ETA: 17s - loss: 0.7939
211200/370515 [================>.............] - ETA: 17s - loss: 0.7922
211808/370515 [================>.............] - ETA: 17s - loss: 0.7908
212288/370515 [================>.............] - ETA: 17s - loss: 0.7896
212896/370515 [================>.............] - ETA: 17s - loss: 0.7882
213504/370515 [================>.............] - ETA: 17s - loss: 0.7861
213984/370515 [================>.............] - ETA: 17s - loss: 0.7850
214336/370515 [================>.............] - ETA: 17s - loss: 0.7838
214784/370515 [================>.............] - ETA: 17s - loss: 0.7826
215264/370515 [================>.............] - ETA: 17s - loss: 0.7815
215808/370515 [================>.............] - ETA: 17s - loss: 0.7803
216128/370515 [================>.............] - ETA: 17s - loss: 0.7794
216448/370515 [================>.............] - ETA: 17s - loss: 0.7786
216768/370515 [================>.............] - ETA: 17s - loss: 0.7778
217184/370515 [================>.............] - ETA: 17s - loss: 0.7764
217536/370515 [================>.............] - ETA: 17s - loss: 0.7757
217856/370515 [================>.............] - ETA: 17s - loss: 0.7750
218400/370515 [================>.............] - ETA: 16s - loss: 0.7733
219008/370515 [================>.............] - ETA: 16s - loss: 0.7714
219392/370515 [================>.............] - ETA: 16s - loss: 0.7703
219936/370515 [================>.............] - ETA: 16s - loss: 0.7690
220544/370515 [================>.............] - ETA: 16s - loss: 0.7675
221088/370515 [================>.............] - ETA: 16s - loss: 0.7661
221504/370515 [================>.............] - ETA: 16s - loss: 0.7652
222080/370515 [================>.............] - ETA: 16s - loss: 0.7632
222592/370515 [=================>............] - ETA: 16s - loss: 0.7621
223136/370515 [=================>............] - ETA: 16s - loss: 0.7606
223552/370515 [=================>............] - ETA: 16s - loss: 0.7594
224160/370515 [=================>............] - ETA: 16s - loss: 0.7582
224800/370515 [=================>............] - ETA: 16s - loss: 0.7567
225408/370515 [=================>............] - ETA: 16s - loss: 0.7552
225760/370515 [=================>............] - ETA: 16s - loss: 0.7542
226304/370515 [=================>............] - ETA: 16s - loss: 0.7528
226912/370515 [=================>............] - ETA: 15s - loss: 0.7510
227552/370515 [=================>............] - ETA: 15s - loss: 0.7495
227904/370515 [=================>............] - ETA: 15s - loss: 0.7487
